LandisData "Climate Data" 

ClimateTable 

>>Eco	Time	Month	AvgMinT	AvgMaxT	StdDevT	AvgPpt	StdDev	PAR

eco4	2009	4	10.58	41.48	4.42	-1.92	-1.19	0.0

eco4	2009	5	17.52	48.48	5.94	2.39	3.47	0.0

eco4	2009	6	21.81	67.03	6.84	7.88	9.13	0.0

eco4	2009	7	22.26	83.98	6.56	9.78	10.77	0.0

eco4	2009	8	22.59	101.92	6.91	10.35	11.19	0.0

eco4	2009	9	22.56	18.79	5.72	9.23	10.16	0.0

eco4	2009	10	6.8	95.97	7.44	-0.44	0.23	0.0

eco4	2009	11	6.54	31.93	3.82	-2.99	-2.15	0.0

eco4	2009	12	-8.37	31.93	3.42	-16.76	-15.39	0.0

eco4	2010	1	-7.72	21.79	2.61	-18.96	-18.3	0.0

eco4	2010	2	-2.7	6.17	1.86	-18.66	-17.77	0.0

eco4	2010	3	9.18	17.62	3.81	-4.77	-4.15	0.0

eco4	2010	4	16	20.57	5.02	-0.62	0.88	0.0

eco4	2010	5	19.4	65.6	7.47	4.68	5.59	0.0

eco4	2010	6	21.52	112.89	8.35	9.61	10.76	0.0

eco4	2010	7	26.15	109.29	9.07	13.22	14.53	0.0

eco4	2010	8	25.66	146.36	8.6	13.41	14.52	0.0

eco4	2010	9	16.09	109.81	9.18	4.97	6.06	0.0

eco4	2010	10	14.18	77.26	6.52	0.91	2.25	0.0

eco4	2010	11	3.18	42.04	4.25	-6.5	-6.12	0.0

eco4	2010	12	-7.53	43.01	3.48	-17.11	-16.15	0.0

eco4	2011	1	-10.98	30.61	2.94	-21.4	-20.82	0.0

eco4	2011	2	-4.6	7.41	0.6	-18.27	-17.4	0.0

eco4	2011	3	1.25	10.47	2.78	-12.13	-11.61	0.0

eco4	2011	4	9.42	70.47	6.67	-2.12	-1.36	0.0

eco4	2011	5	17.1	70.12	7.65	3.61	4.54	0.0

eco4	2011	6	20.98	113.3	8.07	9.15	10.25	0.0

eco4	2011	7	27.23	77.8	7.43	13.54	15.04	0.0

eco4	2011	8	25.34	114.13	7.58	11.74	13.1	0.0

eco4	2011	9	19.3	35.53	5.46	5.16	6.27	0.0

eco4	2011	10	14.04	33.96	4.02	2.2	3.13	0.0

eco4	2011	11	3.91	16.72	2.58	-5.9	-5.07	0.0

eco4	2011	12	-2.44	7.78	1.87	-11.9	-10.65	0.0

eco4	2012	1	-4.22	14.47	2.79	-14.76	-13.98	0.0

eco4	2012	2	-1.23	20.45	3.02	-12.42	-11.59	0.0

eco4	2012	3	9.5	41.13	5.77	-3.51	-2.98	0.0

eco4	2012	4	11.26	82.68	6.12	-1.71	-0.86	0.0

eco4	2012	5	18.84	171.8	6.67	5.98	6.64	0.0

eco4	2012	6	24.14	193.76	7.67	10.41	11.56	0.0

eco4	2012	7	28.03	106.74	7.42	14.29	15.86	0.0

eco5	1895	1	-12.49	14.46	NaN	-24.86	-24.51	0.0

eco5	1895	2	-6.89	15.36	1.09	-22.74	-22.12	0.0

eco5	1895	3	0	4.01	1.18	-15.56	-14.31	0.0

eco5	1895	4	14.95	33.69	4.78	-1.53	-0.42	0.0

eco5	1895	5	18.72	106.52	7.1	2.67	3.79	0.0

eco5	1895	6	22.78	132.31	9.79	7.71	8.53	0.0

eco5	1895	7	23.95	113.22	7.73	9.16	10.18	0.0

eco5	1895	8	23.22	63.47	6.51	8.51	9.37	0.0

eco5	1895	9	19.12	115.35	6.78	5.66	6.48	0.0

eco5	1895	10	9.96	7.94	2.98	-3.98	-3.47	0.0

eco5	1895	11	0.77	32.14	3.08	-10.82	-10.13	0.0

eco5	1895	12	-4.52	10.87	1.48	-16.65	-16.04	0.0

eco5	1896	1	-9.12	24.75	2.34	-19.92	-19.63	0.0

eco5	1896	2	-4.88	8.28	3.02	-19.31	-18.18	0.0

eco5	1896	3	-1.89	38.36	4.74	-15.62	-15.1	0.0

eco5	1896	4	9.83	113.54	7.41	-2.71	-2.04	0.0

eco5	1896	5	19.12	145.33	9.37	5.01	5.84	0.0

eco5	1896	6	23.75	64.75	7.21	7.95	9.17	0.0

eco5	1896	7	26.69	77.07	6.25	10.19	11.41	0.0

eco5	1896	8	25.35	85.02	7.34	8.59	9.63	0.0

eco5	1896	9	17.98	48.64	6.07	3.32	4.25	0.0

eco5	1896	10	9.66	91.28	5.71	-2.97	-2.28	0.0

eco5	1896	11	-4.64	59.83	5.7	-14.2	-13.98	0.0

eco5	1896	12	-3.48	24.58	2.05	-14.98	-14.08	0.0

eco5	1897	1	-9.65	51.06	4.23	-24.35	-24.55	0.0

eco5	1897	2	-4.71	51.19	4.39	-19.18	-18.65	0.0

eco5	1897	3	-1.82	32.44	3.96	-15.75	-15.42	0.0

eco5	1897	4	10.49	15.68	4.02	-3.81	-2.69	0.0

eco5	1897	5	17.35	40.3	4.06	1.46	2.07	0.0

eco5	1897	6	20.89	96.55	9.74	6.22	7.14	0.0

eco5	1897	7	26.24	213.34	10.5	12.15	13.46	0.0

eco5	1897	8	22.48	84.13	5.72	8.15	9.11	0.0

eco5	1897	9	23.46	44.67	4.7	7.88	8.67	0.0

eco5	1897	10	12.01	43.11	3.77	0.64	1.39	0.0

eco5	1897	11	-0.76	10.3	1.79	-12.21	-11.72	0.0

eco5	1897	12	-8.64	14.96	1.13	-21.87	-20.83	0.0

eco5	1898	1	-4.62	11.22	NaN	-19.76	-18.65	0.0

eco5	1898	2	-3.6	15.17	2.5	-20.25	-19.89	0.0

eco5	1898	3	2.33	17.44	3.89	-11.72	-10.64	0.0

eco5	1898	4	9.71	16.23	4.35	-5.41	-4.07	0.0

eco5	1898	5	16.72	71.1	6.65	1.66	2.74	0.0

eco5	1898	6	23.54	146.48	8.54	7.91	9.02	0.0

eco5	1898	7	26.04	103.04	8.32	10.07	11.39	0.0

eco5	1898	8	23.6	77.44	7.13	9.37	10.1	0.0

eco5	1898	9	20.05	59.48	6.09	5.36	6.24	0.0

eco5	1898	10	8.68	75.23	5.6	-1.51	-1.1	0.0

eco5	1898	11	0.2	25.74	3.16	-11.27	-10.73	0.0

eco5	1898	12	-7.02	9.04	1.23	-21.08	-21.87	0.0

eco5	1899	1	-10.83	12.64	1.71	-24.6	-24.4	0.0

eco5	1899	2	-10.58	13.54	NaN	-25.41	-24.97	0.0

eco5	1899	3	-5.23	17.88	3.01	-21.35	-20.73	0.0

eco5	1899	4	11.24	42.87	5.62	-3.81	-3.6	0.0

eco5	1899	5	16.04	121.15	8.76	1.85	2.87	0.0

eco5	1899	6	22.75	147.02	8.2	8.07	9.46	0.0

eco5	1899	7	25.92	103.93	7.93	10.57	11.86	0.0

eco5	1899	8	23.95	144.98	9.3	10.68	11.6	0.0

eco5	1899	9	17.67	78.7	6.15	3.31	4.53	0.0

eco5	1899	10	12.27	82.75	5.75	0.46	1.15	0.0

eco5	1899	11	6.97	14.36	3.4	-3.81	-3.12	0.0

eco5	1899	12	-4.19	23.48	2.29	-16.63	-15.6	0.0

eco5	1900	1	-3.9	15.67	2.28	-17.83	-17.81	0.0

eco5	1900	2	-9.57	6.44	NaN	-26.26	-25.68	0.0

eco5	1900	3	-0.27	7.76	2.93	-15.5	-14.59	0.0

eco5	1900	4	16.27	12.62	4.54	-1.47	-0.58	0.0

eco5	1900	5	21.01	26.6	4.64	2.8	3.95	0.0

eco5	1900	6	24.91	24.61	5.32	7.84	8.76	0.0

eco5	1900	7	24.97	94.8	8.57	8.8	10.12	0.0

eco5	1900	8	27.15	200.45	10.98	13.44	14.52	0.0

eco5	1900	9	18.99	160.26	9.11	6.24	7.24	0.0

eco5	1900	10	16.81	71.38	7.51	4.05	5.28	0.0

eco5	1900	11	-0.41	12.5	3.04	-10.81	-9.81	0.0

eco5	1900	12	-5.3	11.58	2.17	-16.3	-15.38	0.0

eco5	1901	1	-7.2	6.44	0.26	-22.4	-23.06	0.0

eco5	1901	2	-7.52	8.74	NaN	-23.83	-23.95	0.0

eco5	1901	3	0.79	63.01	5.47	-13.6	-12.9	0.0

eco5	1901	4	12.41	33.66	5.47	-2.58	-1.8	0.0

eco5	1901	5	20.71	31.96	5.91	3.25	4.54	0.0

eco5	1901	6	22.59	198.87	10.38	8.03	9.19	0.0

eco5	1901	7	26.78	100.18	9.02	12.54	13.9	0.0

eco5	1901	8	25.56	49.22	6.37	10.16	11.42	0.0

eco5	1901	9	19.3	47.18	5.61	4.1	5.01	0.0

eco5	1901	10	14.06	65.88	9.2	-1.23	-0.09	0.0

eco5	1901	11	0.67	29.52	2.74	-10.56	-10.01	0.0

eco5	1901	12	-7.94	14.9	2.02	-19.23	-18.32	0.0

eco5	1902	1	-5.37	10.11	0.79	-20.31	-20.04	0.0

eco5	1902	2	-4.03	9.23	2.36	-19.21	-18.78	0.0

eco5	1902	3	6	18.39	3.99	-8.92	-8.01	0.0

eco5	1902	4	10.46	28.65	4.98	-4.75	-3.77	0.0

eco5	1902	5	18.68	125.09	8.33	3.92	5.3	0.0

eco5	1902	6	21.74	71.15	6.33	6.03	7.52	0.0

eco5	1902	7	26.38	95.42	7.53	10.59	11.85	0.0

eco5	1902	8	23.21	109.26	8.35	7.94	9.53	0.0

eco5	1902	9	17.59	49.56	4.46	3.05	4.14	0.0

eco5	1902	10	12.03	52.32	6.4	-1.61	-0.75	0.0

eco5	1902	11	2.57	48.94	3.73	-6.38	-5.49	0.0

eco5	1902	12	-6.48	38.07	3.13	-19.82	-19.37	0.0

eco5	1903	1	-7.48	18.58	2.38	-23.08	-23.13	0.0

eco5	1903	2	-5.44	16.25	2.15	-23	-23.22	0.0

eco5	1903	3	2.45	24.21	3.85	-11.08	-10.37	0.0

eco5	1903	4	10.59	59.63	5.31	-3.63	-2.98	0.0

eco5	1903	5	18.33	89.33	7.37	3.42	4.68	0.0

eco5	1903	6	23.4	37.02	6.16	5.94	6.9	0.0

eco5	1903	7	24.44	90.52	7.22	9.96	11.05	0.0

eco5	1903	8	21.59	106.06	7.9	7.49	8.81	0.0

eco5	1903	9	17.79	140.87	8.12	3.31	4.49	0.0

eco5	1903	10	14.51	96.71	6.67	-0.7	0.3	0.0

eco5	1903	11	-1.47	27.57	2.52	-12.69	-11.41	0.0

eco5	1903	12	-9.83	30.72	2.8	-23.86	-23.1	0.0

eco5	1904	1	-11.83	6.66	NaN	-26.62	-26.31	0.0

eco5	1904	2	-11.62	24.28	2.38	-27.93	-27.65	0.0

eco5	1904	3	-0.97	53.8	5.63	-15.19	-13.79	0.0

eco5	1904	4	6.86	17.41	4.19	-6.12	-4.99	0.0

eco5	1904	5	17.4	33.77	5.69	1.51	2.78	0.0

eco5	1904	6	21.95	79.54	6.87	7.46	8.53	0.0

eco5	1904	7	23.27	96.86	6.95	8.2	9.63	0.0

eco5	1904	8	23.06	55.74	6.03	7.73	8.98	0.0

eco5	1904	9	16.88	91.13	8.06	3.83	4.47	0.0

eco5	1904	10	10.73	71.42	5.61	0.02	0.88	0.0

eco5	1904	11	5.85	7.62	2.66	-6.67	-6.43	0.0

eco5	1904	12	-6.55	33.32	3.42	-19.62	-18.18	0.0

eco5	1905	1	-9.84	11.9	NaN	-24.82	-24.29	0.0

eco5	1905	2	-6.97	5.17	0.6	-23.09	-22.52	0.0

eco5	1905	3	2.96	27.44	3.36	-10.04	-8.24	0.0

eco5	1905	4	9.22	71.03	5.57	-4.76	-4.23	0.0

eco5	1905	5	15.99	84.88	8.63	0.69	1.91	0.0

eco5	1905	6	21.08	184.84	10.44	7.13	8.21	0.0

eco5	1905	7	24.11	144.08	9.06	10.64	11.46	0.0

eco5	1905	8	24.44	86.5	7.18	10.37	11.88	0.0

eco5	1905	9	19.78	124.47	6.95	6.84	8.12	0.0

eco5	1905	10	9.3	57.97	5.73	-1.55	-0.92	0.0

eco5	1905	11	2.7	50.02	5.63	-8.29	-7.42	0.0

eco5	1905	12	-2.97	3.9	0.89	-15.78	-15.09	0.0

eco5	1906	1	-3.98	22.06	3.21	-17.79	-17.16	0.0

eco5	1906	2	-5.73	2.01	NaN	-22.49	-21.63	0.0

eco5	1906	3	-1.6	18.94	3.09	-16.6	-15.43	0.0

eco5	1906	4	13.62	29.78	5.18	-1.54	-0.35	0.0

eco5	1906	5	15.96	108.84	8.19	1.86	3.02	0.0

eco5	1906	6	22.11	117.51	8.47	9.12	9.94	0.0

eco5	1906	7	25.61	48.44	6.58	10.97	12.21	0.0

eco5	1906	8	24.04	85.5	7.99	10.2	11.45	0.0

eco5	1906	9	21.02	90.28	7.04	7.42	8.84	0.0

eco5	1906	10	10.85	44.24	5.14	-0.61	0.6	0.0

eco5	1906	11	1.8	57.78	5.57	-7.11	-6.2	0.0

eco5	1906	12	-6.69	28.05	2.99	-18.46	-17.67	0.0

eco5	1907	1	-11.45	37.27	3.11	-25.94	-25.12	0.0

eco5	1907	2	-4.61	10.72	1.09	-20.69	-19.75	0.0

eco5	1907	3	1.35	25.2	3.62	-12.67	-11.88	0.0

eco5	1907	4	4.87	29.78	4.16	-7.67	-6.49	0.0

eco5	1907	5	11.47	51.72	6.09	-2.85	-1.59	0.0

eco5	1907	6	23.22	60.32	7.82	7.86	8.94	0.0

eco5	1907	7	25.14	66.67	7.11	9.91	11.13	0.0

eco5	1907	8	23.2	86.92	7.63	9.38	10.81	0.0

eco5	1907	9	16.89	105.97	7.01	5.03	5.59	0.0

eco5	1907	10	11.64	30.22	4.58	-2.26	-1.2	0.0

eco5	1907	11	2.55	11.56	2.5	-7.58	-6.87	0.0

eco5	1907	12	-2.5	12.61	1.94	-15.45	-14.25	0.0

eco5	1908	1	-4.71	6.25	NaN	-18.95	-18.19	0.0

eco5	1908	2	-4.1	29.51	3.62	-16.55	-15.39	0.0

eco5	1908	3	1.4	36.22	4.24	-13.35	-11.97	0.0

eco5	1908	4	12.3	47.58	5.42	-2.98	-1.83	0.0

eco5	1908	5	16.9	120.29	7.94	2.29	3.25	0.0

eco5	1908	6	21.35	123.05	7.85	8.51	9.63	0.0

eco5	1908	7	25.54	102.07	7.1	10.72	12.08	0.0

eco5	1908	8	22.72	43.13	6.14	8.62	9.77	0.0

eco5	1908	9	22.12	61.11	6.32	7.16	8.14	0.0

eco5	1908	10	12.29	32.35	4.43	0.86	1.51	0.0

eco5	1908	11	3.69	21.15	4.05	-7.12	-5.99	0.0

eco5	1908	12	-5.65	17.15	1.74	-16.97	-15.81	0.0

eco5	1909	1	-8.65	30.9	2.88	-22.69	-21	0.0

eco5	1909	2	-5.83	23.91	0.42	-20.36	-19.38	0.0

eco5	1909	3	0.83	18.31	2.28	-12.07	-11.31	0.0

eco5	1909	4	5.36	38.88	4.09	-6.72	-6.12	0.0

eco5	1909	5	15.83	48.73	5.68	1.08	2.24	0.0

eco5	1909	6	24.28	32.81	5.58	8.76	9.8	0.0

eco5	1909	7	25.7	136.15	9.73	11.31	12.18	0.0

eco5	1909	8	24.69	158.25	9.73	12.14	13.33	0.0

eco5	1909	9	18.99	86.47	6.19	5.01	6.2	0.0

eco5	1909	10	10.12	50.01	6.09	-0.46	0.39	0.0

eco5	1909	11	3.69	43.19	4.35	-5.85	-5.35	0.0

eco5	1909	12	-8.59	34.7	3.62	-17.64	-17.47	0.0

eco5	1910	1	-6.8	9.4	0.95	-19.21	-18.56	0.0

eco5	1910	2	-8.64	17.41	1.33	-23.35	-23.33	0.0

eco5	1910	3	10.12	6.7	3.53	-5.7	-4.77	0.0

eco5	1910	4	14.66	44.6	5.99	-1.38	-0.78	0.0

eco5	1910	5	16.07	37.61	4.69	0.05	1.42	0.0

eco5	1910	6	26.8	18.69	4.94	9.25	10.08	0.0

eco5	1910	7	26.55	100.83	6.75	10.66	11.48	0.0

eco5	1910	8	23.29	37.29	4.58	8.63	9.5	0.0

eco5	1910	9	18.79	90.56	6.6	4.9	5.83	0.0

eco5	1910	10	14.21	29.26	4.83	0.65	1.6	0.0

eco5	1910	11	-1.85	20.33	3.25	-9.7	-9.2	0.0

eco5	1910	12	-6.77	16.62	2.07	-19.38	-18.17	0.0

eco5	1911	1	-9.85	16.29	1.62	-25.71	-24.42	0.0

eco5	1911	2	-3.69	22.23	3.01	-18.19	-17.56	0.0

eco5	1911	3	3.84	29.1	3.62	-9.88	-8.73	0.0

eco5	1911	4	11.11	29.04	4.64	-3.42	-2.33	0.0

eco5	1911	5	20.4	77.22	7.85	3.48	4.98	0.0

eco5	1911	6	25.51	82.34	7.31	9.9	10.97	0.0

eco5	1911	7	24.82	114.8	6.94	9.89	11.19	0.0

eco5	1911	8	22.15	115.75	8.26	8.31	9.5	0.0

eco5	1911	9	17.09	83.04	6.68	4.22	5.52	0.0

eco5	1911	10	9.99	24.27	4.46	-1.81	-0.62	0.0

eco5	1911	11	-2.21	29.82	3.46	-14.01	-13.13	0.0

eco5	1911	12	-4.16	27.04	2.17	-13.86	-13.15	0.0

eco5	1912	1	-17.24	5.63	NaN	-31.73	-31.04	0.0

eco5	1912	2	-8.1	3.94	NaN	-22.12	-21.49	0.0

eco5	1912	3	-1.45	5.53	1.64	-17.43	-16.67	0.0

eco5	1912	4	12.64	39.29	5.56	-3.43	-2.59	0.0

eco5	1912	5	17.72	105.94	6.63	2.66	3.86	0.0

eco5	1912	6	22.34	54.31	5.36	5.99	7.21	0.0

eco5	1912	7	24.26	62.13	7.1	10.95	12.09	0.0

eco5	1912	8	20.18	81.68	7.65	8.55	9.61	0.0

eco5	1912	9	17.91	79.17	7.38	5.46	6.24	0.0

eco5	1912	10	13.8	13.43	3.93	-0.92	0.05	0.0

eco5	1912	11	3.86	10.49	2.82	-7.21	-6.59	0.0

eco5	1912	12	-3.47	21.91	2.83	-15.95	-14.84	0.0

eco5	1913	1	-9.61	8.12	NaN	-24.57	-23.87	0.0

eco5	1913	2	-9.19	11.07	NaN	-23.69	-22.7	0.0

eco5	1913	3	-3.21	35.47	3.61	-17.51	-16.19	0.0

eco5	1913	4	13.18	43.08	4.86	-2.05	-1.3	0.0

eco5	1913	5	15.41	101.59	6.03	0.76	2.09	0.0

eco5	1913	6	24.5	76.52	7.57	8.64	10.01	0.0

eco5	1913	7	23.12	164.66	9.05	9.71	10.92	0.0

eco5	1913	8	24.02	65.24	5.62	10.58	11.76	0.0

eco5	1913	9	17.95	79.49	6.92	5.06	6.01	0.0

eco5	1913	10	9.68	83.37	7.38	-2.47	-1.6	0.0

eco5	1913	11	5.27	20.46	2.63	-5.39	-4.49	0.0

eco5	1913	12	0	3.65	0.63	-10.76	-9.93	0.0

eco5	1914	1	-5.51	23.14	2.65	-18.16	-16.92	0.0

eco5	1914	2	-10.32	12.54	NaN	-27.62	-26.94	0.0

eco5	1914	3	1.11	21.97	4.28	-12.87	-11.97	0.0

eco5	1914	4	8.14	57.32	4.9	-4.27	-3.6	0.0

eco5	1914	5	19.59	71.91	6.31	4.44	5.46	0.0

eco5	1914	6	22.85	134.79	10.46	7.84	8.95	0.0

eco5	1914	7	27.4	78.33	7.5	11.92	13.04	0.0

eco5	1914	8	23.19	106.99	8.69	9.36	10.25	0.0

eco5	1914	9	19.52	73.61	6.58	5.79	7.04	0.0

eco5	1914	10	15.4	32.53	6.44	2.33	3.11	0.0

eco5	1914	11	2.38	16.71	3.02	-8.08	-6.94	0.0

eco5	1914	12	-8.43	4.93	NaN	-20.57	-19.77	0.0

eco5	1915	1	-9.22	16.39	1.84	-21.69	-21.16	0.0

eco5	1915	2	-1.78	19.95	3.14	-14.44	-13.69	0.0

eco5	1915	3	2.57	5.05	1.69	-11.3	-10.53	0.0

eco5	1915	4	16.28	19.65	4.24	1.23	1.86	0.0

eco5	1915	5	15.24	74.27	7.17	1.33	1.95	0.0

eco5	1915	6	19.93	167.43	11.39	5.81	6.68	0.0

eco5	1915	7	23.11	70.42	6.96	8.87	9.73	0.0

eco5	1915	8	23.92	36.96	5.21	7.45	8.38	0.0

eco5	1915	9	19.13	50.27	6.22	5.27	6.27	0.0

eco5	1915	10	12.87	72.72	4.59	0.1	0.74	0.0

eco5	1915	11	1.77	55.46	3.69	-7.08	-6.94	0.0

eco5	1915	12	-4.85	18.03	2.92	-14.02	-13.57	0.0

eco5	1916	1	-10.5	52.6	3.66	-25.45	-25.44	0.0

eco5	1916	2	-8.07	7.54	0.45	-23.36	-23.16	0.0

eco5	1916	3	-0.72	33.13	4.7	-15.62	-14.97	0.0

eco5	1916	4	9.54	77.51	5.38	-3.52	-3.3	0.0

eco5	1916	5	15.87	73.82	6.99	2.37	2.99	0.0

eco5	1916	6	20.1	126.34	8	6.77	7.54	0.0

eco5	1916	7	29.17	59.47	7.15	14.23	15.24	0.0

eco5	1916	8	24.44	107.79	9.66	10.87	11.87	0.0

eco5	1916	9	17.6	87.08	6.89	4.31	5.4	0.0

eco5	1916	10	9.32	36.79	4.21	-1.42	-0.85	0.0

eco5	1916	11	2.13	3.7	1.52	-8.67	-7.98	0.0

eco5	1916	12	-9.14	12.72	2.65	-21.7	-21.54	0.0

eco5	1917	1	-11.09	7.83	NaN	-25.66	-25.73	0.0

eco5	1917	2	-12.01	21.26	2.2	-25.87	-25.54	0.0

eco5	1917	3	0.85	40.91	2.67	-12.68	-12.34	0.0

eco5	1917	4	7.42	35.05	4.37	-3.78	-3.73	0.0

eco5	1917	5	17.24	11.02	3.35	1.02	0.41	0.0

eco5	1917	6	21.32	50.03	5.91	6.94	6.49	0.0

eco5	1917	7	26.44	81.7	6.21	12.81	13.08	0.0

eco5	1917	8	22.64	68.28	5.88	9.08	9.01	0.0

eco5	1917	9	18.13	36.46	6.29	6.57	6.2	0.0

eco5	1917	10	4.64	58.52	5.08	-4.44	-4.22	0.0

eco5	1917	11	5.11	2.64	2.27	-5.37	-4.85	0.0

eco5	1917	12	-11.29	22.65	1.57	-23.94	-22.97	0.0

eco5	1918	1	-13.18	17.74	NaN	-26.19	-25.78	0.0

eco5	1918	2	-5.91	7.71	0.46	-21.14	-20.2	0.0

eco5	1918	3	6.43	6.97	2.21	-8.04	-7.42	0.0

eco5	1918	4	11.76	44.27	5.96	-4.43	-4.29	0.0

eco5	1918	5	17.89	88.06	7.02	3.07	3.89	0.0

eco5	1918	6	22.94	34.25	5.21	8.24	9.14	0.0

eco5	1918	7	25.38	59.76	7.14	10.31	10.98	0.0

eco5	1918	8	25.72	83.49	8.14	10.08	11	0.0

eco5	1918	9	16.47	32.89	4.3	0.83	1.85	0.0

eco5	1918	10	12.08	49.65	5.09	-0.02	0.21	0.0

eco5	1918	11	4.3	29.73	4.67	-5.04	-4.7	0.0

eco5	1918	12	-3.03	35.34	3.82	-12.07	-11.34	0.0

eco5	1919	1	-3.99	8.97	1.27	-17.1	-16.39	0.0

eco5	1919	2	-5.78	23.88	2.14	-18.51	-18.55	0.0

eco5	1919	3	0.73	24.19	2.96	-12.41	-12.04	0.0

eco5	1919	4	10.5	35.3	4.62	-2.27	-1.7	0.0

eco5	1919	5	19.38	46.13	6.7	3.41	3.8	0.0

eco5	1919	6	24.24	119.56	8.31	11.43	12.32	0.0

eco5	1919	7	26.92	78.51	8.75	12.39	12.81	0.0

eco5	1919	8	24.06	121.96	9.33	10.29	10.92	0.0

eco5	1919	9	20.17	59.98	5.82	5.34	7.09	0.0

eco5	1919	10	8.71	58.08	5.51	-3.36	-2.9	0.0

eco5	1919	11	-1.67	60.39	4.65	-12.46	-12.16	0.0

eco5	1919	12	-10.94	8.26	NaN	-22.4	-21.49	0.0

eco5	1920	1	-11.74	19.99	2.37	-25.06	-24.26	0.0

eco5	1920	2	-6.19	8.31	1.14	-19.63	-19.44	0.0

eco5	1920	3	1.94	26.9	3.48	-11.46	-11.11	0.0

eco5	1920	4	6.28	32.46	3.93	-6.83	-6.55	0.0

eco5	1920	5	19.07	73.05	6.5	2.82	3.42	0.0

eco5	1920	6	22.93	153.57	8.42	8.86	9.53	0.0

eco5	1920	7	24.8	103.47	7.95	10.23	11.18	0.0

eco5	1920	8	25.03	56.78	5.81	9.16	10.05	0.0

eco5	1920	9	21.41	54.84	6.46	7.62	8.4	0.0

eco5	1920	10	16.17	52	4.55	2.83	3.32	0.0

eco5	1920	11	0.5	22.11	3	-8.52	-7.6	0.0

eco5	1920	12	-4.99	21.82	2.84	-13.66	-12.69	0.0

eco5	1921	1	-5.01	12.06	1.53	-17.63	-16.79	0.0

eco5	1921	2	-2.47	14.61	2.09	-15.58	-15.01	0.0

eco5	1921	3	1.92	34.46	3.83	-12.01	-10.87	0.0

eco5	1921	4	13.05	39.66	5.53	-1.45	-1.02	0.0

eco5	1921	5	19.4	94.23	7.35	3.91	4.68	0.0

eco5	1921	6	25.58	76.51	8.46	11.13	12.1	0.0

eco5	1921	7	28.84	109.72	7.28	14.35	15.23	0.0

eco5	1921	8	24.74	44.42	6.28	9.74	11.17	0.0

eco5	1921	9	19.48	68.12	6.89	7.1	8.47	0.0

eco5	1921	10	13.01	11.66	3.36	0.22	1.32	0.0

eco5	1921	11	-2.25	9.79	1.85	-11.17	-10	0.0

eco5	1921	12	-5.6	24.46	2.7	-16.8	-15.45	0.0

eco5	1922	1	-8.72	10.25	1.61	-22.42	-21.54	0.0

eco5	1922	2	-7.23	51.75	3.89	-22.39	-22.97	0.0

eco5	1922	3	2.31	31.4	3.61	-10.67	-10.1	0.0

eco5	1922	4	9.69	49.74	6.2	-2.53	-1.93	0.0

eco5	1922	5	21.21	76.12	6.28	6.54	7.24	0.0

eco5	1922	6	24	83.81	7.05	9.31	10.31	0.0

eco5	1922	7	24.48	52.89	6.1	10.36	11.29	0.0

eco5	1922	8	25.73	57.94	6.23	10.64	11.85	0.0

eco5	1922	9	21.26	60.46	6.78	6.5	7.49	0.0

eco5	1922	10	14.01	24.41	4.32	0.6	1.28	0.0

eco5	1922	11	3.54	73.17	6.4	-3.74	-2.95	0.0

eco5	1922	12	-7.61	21.8	3.1	-19.49	-18.34	0.0

eco5	1923	1	-6.79	27.54	2.68	-21.1	-19.84	0.0

eco5	1923	2	-8.57	8.17	2.59	-24.25	-24.3	0.0

eco5	1923	3	-3.81	17.59	2.17	-18.57	-18.14	0.0

eco5	1923	4	9.56	30.59	4.93	-4.05	-3.54	0.0

eco5	1923	5	19.47	40.09	5.36	2.83	3.46	0.0

eco5	1923	6	26.14	89.39	9.02	9.97	10.84	0.0

eco5	1923	7	26.87	84.18	6.91	12.53	13.56	0.0

eco5	1923	8	22.91	53.57	5.5	7.73	8.5	0.0

eco5	1923	9	19.76	38.36	5.86	5.98	6.81	0.0

eco5	1923	10	12.58	20.48	3.71	-0.37	0.01	0.0

eco5	1923	11	5.83	12.76	2.67	-5.09	-4.38	0.0

eco5	1923	12	-0.83	16.2	2.94	-11.93	-11.4	0.0

eco5	1924	1	-12.08	8.96	NaN	-27.11	-26.11	0.0

eco5	1924	2	-2.88	12.18	2.05	-16.62	-16.35	0.0

eco5	1924	3	1.72	8.19	2.65	-10.87	-10.6	0.0

eco5	1924	4	8.8	53.41	5.26	-3.29	-2.91	0.0

eco5	1924	5	14.31	43.12	5.9	-0.23	0.01	0.0

eco5	1924	6	21.44	101.69	6.57	6.38	6.97	0.0

